userId,total_events,n_sessions,unique_songs,unique_artists,total_length,avg_length,avg_itemInSession,num_cancellation_events,num_thumbup,num_thumbdown,num_home,num_nextsong,last_level,last_location,first_ts,last_ts_excluded,activity_span_seconds,churn,y_true,proba_cal,pred,confidence,error_type
164,1537,24,1168,972,319558.45107,251.62082761417324,59.94144437215355,0,64,8,58,1270,0,-1,1538523446000,1542952081000,4428635000,1,1,0.006451613456010819,0,0.9935483865439891,FN
167,257,8,196,185,47742.76305,239.913382160804,28.003891050583658,0,10,4,11,199,1,11,1538414140000,1543297203000,4883063000,1,1,0.07917888835072517,0,0.9208211116492748,FN
293,5124,58,3473,2324,1049254.68001,247.11603391662743,130.6762295081967,0,227,39,200,4246,0,81,1538352011000,1542828922000,4476911000,1,1,0.11344770491123199,0,0.886552295088768,FN
100048,204,2,163,153,41581.24762,252.0075613333333,90.69117647058825,0,8,2,7,165,0,-1,1538600805000,1541731652000,3130847000,1,1,0.12917888835072516,0,0.8708211116492748,FN
221,298,6,238,224,61331.63654,248.3062208097166,31.973154362416107,0,16,2,14,247,0,10,1538527804000,1542048982000,3521178000,1,1,0.1310952626168728,0,0.8689047373831272,FN
265,511,16,377,337,96459.50039,247.9678673264781,29.11545988258317,0,14,2,33,389,1,65,1538739033000,1542268562000,3529529000,1,1,0.1880777195096016,0,0.8119222804903984,FN
200,203,2,159,155,38613.16321,235.44611713414636,90.65517241379312,0,10,2,7,164,0,5,1538662424000,1538800527000,138103000,1,1,0.23018478453159333,0,0.7698152154684067,FN
271,220,1,184,174,47189.04689,248.3634046842105,111.40454545454546,0,8,3,5,190,0,109,1538722676000,1538769994000,47318000,1,1,0.2407831460237503,0,0.7592168539762497,FN
100040,258,5,190,180,48584.96223,254.37153,109.68992248062015,0,9,2,6,191,1,30,1539385305000,1541379503000,1994198000,1,1,0.2664516158401966,0,0.7335483841598034,FN
100041,162,5,121,114,29434.53688,239.30517788617885,24.296296296296298,0,9,2,13,123,0,22,1538594352000,1540894887000,2300535000,1,1,0.26793664768338205,0,0.732063352316618,FN
100045,76,1,65,64,15989.86113,245.99786353846156,37.5,0,3,0,1,65,0,20,1539758739000,1539775006000,16267000,1,1,0.2702199414372444,0,0.7297800585627556,FN
100030,118,3,97,96,22649.03312,231.11258285714285,38.54237288135593,0,3,0,4,98,0,10,1538412668000,1538572272000,159604000,1,1,0.3146086186170578,0,0.6853913813829422,FN
223,1388,23,988,820,278219.91125,253.85028398722628,88.42939481268012,0,76,8,59,1096,0,10,1538355394000,1541958727000,3603333000,1,1,0.31677489578723905,0,0.683225104212761,FN
100032,12,1,7,7,1743.04337,249.0061957142857,5.5,0,0,0,0,7,1,-1,1538645301000,1538647041000,1740000,1,1,0.31677489578723905,0,0.683225104212761,FN
300047,654,7,511,436,130061.52443,243.56090717228463,100.348623853211,0,41,4,23,534,0,-1,1538571974000,1540711797000,2139823000,1,1,0.32450598776340484,0,0.6754940122365951,FN
231,228,1,193,181,53618.24638,265.4368632673267,116.74561403508773,0,8,1,4,202,0,-1,1538429513000,1538482775000,53262000,1,1,0.3264669865369797,0,0.6735330134630203,FN
100051,99,1,69,67,16295.43972,236.16579304347823,57.60606060606061,0,2,2,5,69,1,7,1542143416000,1542159856000,16440000,1,1,0.3522576063871384,0,0.6477423936128617,FN
246,3565,23,2546,1802,754551.79623,251.60113245415135,207.14894810659183,0,153,34,110,2999,0,-1,1538352124000,1541374344000,3022220000,1,1,0.46998342871665955,0,0.5300165712833405,FN
